Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
8,17,Pejë/Peć,1705x,Pejë/Peć,Instituti i Agronomisë,Institut Agronomije,,
9,17,Pejë/Peć,1706c,Vitomiricë/Vitomirica,"Shkolla Fillore ""7 Shtatori""","Osnovna Škola ""7 Septembar""",,
10,17,Pejë/Peć,1707c,Novosellë/Novo Selo,"Shkolla Fillore ''Lidhja e Pejës""","Osnovna Škola ''Lidhja e Pejës""",,
11,17,Pejë/Peć,1708c,Zahaq/Zahać,"Shkolla Fillore ""Haxhi Zeka""","Osnovna Škola ""Haxhi Zeka""",,
12,17,Pejë/Peć,1709c,Poqestë/Počesće,"Shkolla Fillore ""Pjetër Budi""","Osnovna Škola ""Pjetër Budi""",,
13,17,Pejë/Peć,1710c,Tërstenik/Trstenik,"Shkolla Fillore ""Rilindja""","Osnovna Škola ""Rilindja""",,
14,17,Pejë/Peć,1711c,Kliqinë/Kličina,"Shkolla Fillore ""Naum Veqilharxhi""","Osnovna Škola ""Naum Veqilharxhi""",,
15,17,Pejë/Peć,1712c,Gllogjan/Glodjane,"Shkolla Fillore ""Migjeni""","Osnovna Škola ""Migjeni""",,
16,17,Pejë/Peć,1713c,Baran/Barane,"Shkolla Fillore ""Vllaznimi""","Osnovna Škola ""Vllaznimi""",,
17,17,Pejë/Peć,1714c,Raushiq/Raušić,"Shkolla Fillore ""28 Nëntori""","Osnovna Škola ""28 Nëntori""",,
18,17,Pejë/Peć,1715c,Gorazhdec/Gorždevac,"Shkolla ""Janko Javičević""","Škola ""Janko Javičević""",,
19,17,Pejë/Peć,1723c,Pejë/Peć,"Shkolla Fillore ""Dardania ""","Osnovna Škola ""Dardania """,,
20,17,Pejë/Peć,1724c,Krusheci/Krushevac,"Shkolla Fillore ""Fan S. Noli""","Osnovna Škola ""Fan S. Noli""",,
21,17,Pejë/Peć,1725c,Loxhë/Lođa,"Shkolla Fillore""2 Korriku""","Osnovna Škola""2 Korriku""",,
22,17,Pejë/Peć,1726c,Trebovic/Trebović,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
23,17,Pejë/Peć,1727c,Nabërgjan/Nabrđe,"Shkolla Fillore ""Ali Kelmendi""","Osnovna Škola ""Ali Kelmendi""",,
1,18,Podujevë/Podujevo,1801e,Podujevë/Podujevo,"Shkolla e Mesme ""Fan S. Noli""","Srednja Škola ""Fan S. Noli""",,
2,18,Podujevë/Podujevo,1801x,Podujevë/Podujevo,"Gimnazium ""Enver Malokui""","Gimnazium ""Enver Malokui""",,
3,18,Podujevë/Podujevo,1802e,Podujevë/Podujevo,"Shkolla e Mesme ""Shaban Shala""","Srednja Škola ""Shaban Shala""",,
4,18,Podujevë/Podujevo,1802x,Podujevë/Podujevo,"Shkolla Fillore ""Naim Frashëri""","Osnovna Škola ""Naim Frashëri""",,
5,18,Podujevë/Podujevo,1803e,Luzhanë/Lužane,Shkolla Fillore ''Afrimi E Fahriu'',Osnovna Škola ''Afrimi E Fahriu'',,
6,18,Podujevë/Podujevo,1804e,Kërpimeh/Krpimej,"Shkolla Fillore ''Hamit Sejdiu""","Osnovna Škola ''Hamit Sejdiu""",,
7,18,Podujevë/Podujevo,1805e,Pollatë/Polate,"Shkolla Fillore ''Shefki Latifi""","Osnovna Škola ''Shefki Latifi""",,
8,18,Podujevë/Podujevo,1806e,Zhiti/Žitinje,"Shkolla Fillore ""Sami Frashëri""","Osnovna Škola ""Sami Frashëri""",,
9,18,Podujevë/Podujevo,1807e,Bradash/Bradaš,Shkolla Fillore ''Nuhi Gashi'',Osnovna Škola ''Nuhi Gashi'',,
10,18,Podujevë/Podujevo,1808e,Bajqinë/Bajčina,"Shkolla Fillore ""Emin Duraku ""","Osnovna Škola ""Emin Duraku """,,
11,18,Podujevë/Podujevo,1809e,Dobratin/Dobrotin,"Shkolla Fillore ""Esat Mekuli""","Osnovna Škola ""Esat Mekuli""",,
12,18,Podujevë/Podujevo,1810e,Llapashticë e Epërme/Gornja Lapaštica,"Shkolla Fillore ""Naum Veqilharxhi""","Osnovna Škola ""Naum Veqilharxhi""",,
13,18,Podujevë/Podujevo,1811e,Katunishtë/Velika Reka,"Shkolla Fillore ""Ali Hadri""","Osnovna Škola ""Ali Hadri""",,
14,18,Podujevë/Podujevo,1812e,Gllamnik/Glavnik,"Shkolla Fillore ""Kongresi i Manastirit""","Osnovna Škola ""Kongresi i Manastirit""",,
15,18,Podujevë/Podujevo,1813e,Shajkofc/Šajkovac,"Shkolla ""Hasan Ramadani""","Škola ""Hasan Rmadani""",,
16,18,Podujevë/Podujevo,1814e,Sfeqël/Svetlje,"Shkolla Fillore ""Ali Ajeti""","Osnovna Škola ""Ali Ajeti""",,
17,18,Podujevë/Podujevo,1815e,Shtedim/Štedim,"Shkolla Fillore ""Sheqë Mirovci""","Osnovna Škola ""Sheqë Mirovci""",,
18,18,Podujevë/Podujevo,1816e,Batllavë/Batlava,Shkolla Fillore ''Luigj Gurakuqi'',Osnovna Škola ''Luigj Gurakuqi'',,
19,18,Podujevë/Podujevo,1817e,Tërnavë/Ternava,"Shkolla Fillore ""Shefki Kuleta""","Osnovna Škola ""Shefki Kuleta""",,
20,18,Podujevë/Podujevo,1818e,Orllan/Orlane,"Shkolla Fillore ""Zahir Pajaziti""","Osnovna Škola ""Zahir Pajaziti""",,
21,18,Podujevë/Podujevo,1819e,Majac/Majance,"Shkolla Fillore ""Drita""","Osnovna Škola ""Drita""",,
22,18,Podujevë/Podujevo,1820e,Dumnicë e Poshtme/Donja Dumnica,Shkolla Fillore ''Lasgush Poradeci'',Osnovna Škola ''Lasgush Poradeci'',,
23,18,Podujevë/Podujevo,1821e,Dumnicë e Epërme/Gornja Dumnica,"Shkolla Fillore ""Kadri Kadriu""","Osnovna Škola ""Kadri Kadriu""",,
24,18,Podujevë/Podujevo,1822e,Obranqë/Obranza,"Shkolla Fillore ""Ali Hadri""","Osnovna Škola ""Ali Hadri""",,
25,18,Podujevë/Podujevo,1824e,Podujevë/Podujevo,"Shkolla e Mesme Ekonomike ""Isa Boletini""","Srednja Ekonomska Škola ""Isa Boletini""",,
26,18,Podujevë/Podujevo,1827e,Lupçi i Poshtëm/Donje Ljupče,"Shkolla Fillore ""Zenel Hajdini""","Osnovna Škola ""Zenel Hajdini""",,
27,18,Podujevë/Podujevo,1828e,Herticë/Hertica,"Shkolla Fillore ""Rilindja""","Osnovna Škola ""Rilindja""",,
28,18,Podujevë/Podujevo,1829e,Ballofc/Balovac,"Shkolla Fillore "" Ali Ajeti""","Osnovna Škola "" Ali Ajeti""",,
29,18,Podujevë/Podujevo,1830e,Metehia/Metohija,"Shkolla Fillore ""Elfir Behrami""","Osnovna Škola ""Elfir Behrami""",,
30,18,Podujevë/Podujevo,1831e,Doberdoll/Dobri Do,"Shkolla Fillore""Jetullah Gashi""","Osnovna Škola""Jetullah Gashi""",,
31,18,Podujevë/Podujevo,1832e,Sibovc i Eperm/Gornji Sibovac,"Shkolla Fillore ""Pavaresia""","Osnovna Škola ""Pavaresia""",,
32,18,Podujevë/Podujevo,1833e,Letanc/Letance,"Shkolla Fillore""Hyzriu e Samiu""","Osnovna Škola""Hyzriu e Samiu""",,
33,18,Podujevë/Podujevo,1834e,Lluge/Lug,"Shkolla Fillore ""Ilir Konushefci""","Osnovna Škola ""Ilir Konushefci""",,
34,18,Podujevë/Podujevo,1835e,Burice/Burince,"Shkolla Fillore ""Eqrem Qabej""","Osnovna Škola ""Eqrem Qabej""",,
35,18,Podujevë/Podujevo,1836e,Dyz/Duz,"Shkolla Fillore ""Jetullah Islami""","Osnovna Škola ""Jetullah Islami""",,
36,18,Podujevë/Podujevo,1837e,Gerdoc/Grdovac,"Shkolla Fillore ""Luigj Gurakuqi""","Osnovna Škola ""Luigj Gurakuqi""",,
37,18,Podujevë/Podujevo,1838e,Laldoc/Ladovac,"Shkolla Fillore ""Ali Ajeti""","Osnovna Škola ""Ali Ajeti""",,
38,18,Podujevë/Podujevo,1839e,Lalapashtice e Poshtme/Donja Lapastica,"Shkolla Fillore ""Dituria""","Osnovna Škola ""Dituria""",,
39,18,Podujevë/Podujevo,1840e,Llaushe/Lausa,"Shkolla Fillore ""Kadri Kadriu""","Osnovna Škola ""Kadri Kadriu""",,
40,18,Podujevë/Podujevo,1841e,Peran/Perane,"Shkolla Fillore ""Ali Hadri""","Osnovna Škola ""Ali Hadri""",,
41,18,Podujevë/Podujevo,1842e,Bervenik/Brvenik,"Shkolla Fillore ""Jahe Hasani""","Osnovna Škola ""Jahe Hasani""",,
42,18,Podujevë/Podujevo,1843e,Dumosh/Dumos,"Shkolla Fillore ""Musli Dumoshi""","Osnovna Škola ""Musli Dumoshi""",,
43,18,Podujevë/Podujevo,1844e,Pakashtice e Eperme/Gornja Pakastica,"Shkolla Fillore ""Hamit Sejdiu ""","Osnovna Škola ""Hamit Sejdiu """,,
1,19,Prishtinë/Priština,1901e,Prishtinë/Priština - Mahalla e Muhagjerëve/Muhazer Mahala,"Shkolla ""Naim Frashëri""","Škola ""Naim Frashëri""",,
2,19,Prishtinë/Priština,1902e,Prishtinë/Priština - Katër Llullat,"Shkolla ""Sami Frashëri""","Škola ""Sami Frashëri""",,
3,19,Prishtinë/Priština,1903e,Prishtinë/Priština - Lagja Pejton,"Shkolla ""Faik Konica""","Škola ""Faik Konica""",,
4,19,Prishtinë/Priština,1904e,Prishtinë/Priština - Dardania,"Shkolla ""Dardania""","Škola ""Dardania""",,
5,19,Prishtinë/Priština,1905e,Prishtinë/Priština -Lakrishte,"Shkolla ""Shtjefën Gjeçovi""","Škola ""Shtjefën Gjeçovi""",,
6,19,Prishtinë/Priština,1906e,Prishtinë/Priština - Qendër/Centar,Fakulteti Filologjik,Folološki Fakultet,,
7,19,Prishtinë/Priština,1907e,Prishtinë/Priština - Bregu i Diellit,Fakulteti Teknik,Tehnićki Fakultet,,
8,19,Prishtinë/Priština,1908e,Prishtinë/Priština - Bregu i Diellit,Fakulteti Teknik,Tehnićki Fakultet,,
9,19,Prishtinë/Priština,1909e,Prishtinë/Priština - Ulpiana,"Shkolla ""Hasan Prishtina""","Škola ""Hasan Prishtina""",,
10,19,Prishtinë/Priština,1910e,Prishtinë/Priština - Lagja e Spitalit,"Shkolla e Mjekësisë ""Ali Sokoli""","Medicinska Škola ""Ali Sokoli""",,
11,19,Prishtinë/Priština,1911e,Prishtinë-Bregu i Diellit,"Shkolla ""Ismajl Qemali""","Škola ""Ismajl Qemali""",,
12,19,Prishtinë/Priština,1912e,Prishtinë-Bregu i Diellit,Salla e Sporteve,Halla Sportova,,
13,19,Prishtinë/Priština,1913e,Prishtinë/Priština - Qytet/Grad,Fakulteti Ekonomik-Juridik,Ekonomski-Pravni Fakultet,,
14,19,Prishtinë/Priština,1914e,Prishtinë/Priština - Mahalla e Muhagjerëve/Muhazer Mahala,"Shkolla ""Naim Frashëri""","Škola ""Naim Frashëri""",,
15,19,Prishtinë/Priština,1915e,Prishtinë/Priština - Bregu i Diellit II,"Shkolla ""Iliria""","Škola ""Iliria""",,
16,19,Prishtinë/Priština,1916e,Prishtinë/Priština - Katër Llullat,"Shkolla ""Elena Gjika""","Škola ""Elena Gjika""",,
17,19,Prishtinë/Priština,1917e,Prishtinë/Priština - Taslixhe,"Shkolla ""Gjergj Fishta""","Škola ""Gjergj Fishta""",,
18,19,Prishtinë/Priština,1918e,Prishtinë/Priština - Tauk Bahqe,"Shkolla ElektroTeknike ""Gjin Gazulli""","ElektroTehnićka Škola ""Gjin Gazulli""",,
19,19,Prishtinë/Priština,1919e,Prishtinë/Priština - Katër Llullat,"Aneks I Gjimnazit ""Sami Frasheri"" (ish shkolla teknike)","Aneks Gimnazija ""Sami Frasheri""",,
20,19,Prishtinë/Priština,1919x,Prishtinë/Priština - Katër Llullat,"Shkolla ""Pjetër Bogdani""","Škola ""Pjetër Bogdani""",,
21,19,Prishtinë/Priština,1920e,Prishtinë/Priština - Kodra e Trimave,"Shkolla ""Zenel Hajdini""","Škola ""Zenel Hajdini""",,
22,19,Prishtinë/Priština,1920x,Prishtinë/Priština - Kodra e Trimave,"Shkolla ""Nazim Gafurri""","Škola ""Nazim Gafurri""",,
23,19,Prishtinë/Priština,1921e,Prishtinë/Priština - Kodra e Trimave,"Shkolla ""Asim Vokshi""","Škola ""Asim Vokshi""",,
24,19,Prishtinë/Priština,1921x,Prishtinë/Priština - Kodra e Trimave,"Shkolla ""Nazim Gafurri""","Škola ""Nazim Gafurri""",,
25,19,Prishtinë/Priština,1922e,Prishtinë/Priština - Xhamia e Llapit/Lap Djamia,"Shkolla ""Emin Duraku''","Škola ""Emin Duraku''",,
26,19,Prishtinë/Priština,1923e,Prishtinë/Priština - Dardania,"Shkolla e Mesme Ekonomike ""Hoxhë Kadri Prishtina""","Srednja Ekonomska Škola""Hoxhë Kadri Prishtina""",,
27,19,Prishtinë/Priština,1924e,Baholli/Baholi,"Shkolla ""Meto Bajraktari""","Škola ""Meto Bajraktari""",,
28,19,Prishtinë/Priština,1925e,Baholli/Baholi,"Shkolla ""Meto Bajraktari""","Škola ""Meto Bajraktari""",,
29,19,Prishtinë/Priština,1926e,Matiçan/Matičane,"Shkolla ""Mitrush Kuteli""","Škola ""Mitrush Kuteli""",,
30,19,Prishtinë/Priština,1927e,Hajvali/Ajvalia,"Shkolla ""Shkëndija""","Škola ""Shkëndija""",,
31,19,Prishtinë/Priština,1928e,Shkabaj/Orlovič,"Shkolla ""Dituria""","Škola ""Dituria""",,
32,19,Prishtinë/Priština,1931e,Nëntë Jugoviqët/Devet Jugovića,"Shkolla ""Anton Zako Çajupi""","Škola ""Anton Zako Çajupi""",,
33,19,Prishtinë/Priština,1933e,Besi/Besinje,"Shkolla ""Nexhmi Mustafa""","Škola ""Nexhmi Mustafa""",,
34,19,Prishtinë/Priština,1934e,Barilevë/Bariljevo,"Shkolla ""Ali Kelmendi""","Škola ""Ali Kelmendi""",,
35,19,Prishtinë/Priština,1935e,Mramori/Mramor,"Shkolla ""Avni Rrustemi""","Škola ""Avni Rrustemi""",,
36,19,Prishtinë/Priština,1936e,Slivovë/Slivovo,"Shkolla ""Filip Shiroka""","Škola ""Filip Shiroka""",,
37,19,Prishtinë/Priština,1937e,Marefc/Marevce,"Shkolla ""Fan Noli""","Škola ""Fan Noli""",,
38,19,Prishtinë/Priština,1939e,Sharban/Šarban,"Shkolla ""Nëna Terezë""","Škola ""Nëna Terezë""",,
39,19,Prishtinë/Priština,1940e,Llukarë/Lukare,"Shkolla ""Ganimete Tërbeshi""","Škola ""Ganimete Tërbeshi""",,
40,19,Prishtinë/Priština,1941e,Koliq/Kolić,"Shkolla ""Tefik Çanga""","Škola ""Tefik Çanga""",,
41,19,Prishtinë/Priština,1942e,Keçekoll/Kačikol,"Shkolla ""Rilindja""","Škola ""Rilindja""",,
42,19,Prishtinë/Priština,1943e,Dabishefc/Dabiševac,"Shkolla ""Azem e Salihu""","Škola ""Azem e Salihu""",,
43,19,Prishtinë/Priština,1949e,Bregu I Diellit/Pristina,Technical Faculty,Technical Faculty,,
44,19,Prishtinë/Priština,1951e,Prishtinë/Priština,Ndërtesat e YU programit-Qendra e Komuniteteve,Stanovi YU Programa-Centar za Zajednice,,
45,19,Prishtinë/Priština,1952e,Slivova e Epërme/Gornje Slivovo,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
46,19,Prishtinë/Priština,1953e,Bërnicë e Poshtme/Donja Brnjica,"Shkolla Fillore ""Dimitrije Prica""","Osnovna Škola ""Dimitrije Prica""",,
47,19,Prishtinë/Priština,1954e,Bërnicë e Epërme/Gornja Brnjica,"Shkolla Fillore ""Dimitrije Prica""","Osnovna Škola ""Dimitrije Prica""",,
48,19,Prishtinë/Priština,1955e,Nëntë Jugoviç/Devet Jugovića,"Shkolla Fillore ""Dimitrije Prica""","Osnovna Škola ""Dimitrije Prica""",,
49,19,Prishtinë/Priština,1956e,Vranidoll/Vrani do,"Shkolla Fillore ""Nene Tereza""","Osnovna Škola ""Nene Tereza""",,
50,19,Prishtinë/Priština,1957e,Teneshdoll/Tenes do,"Shkolla Fillore ""Nene Tereza""","Osnovna Škola ""Nene Tereza""",,
51,19,Prishtinë/Priština,1958e,Shashkoc/Saskovac,"Shkolla Fillore ""Ditet e Minatorit""","Osnovna Škola ""Ditet e Minatorit""",,
52,19,Prishtinë/Priština,1959e,Rimanishte/Rimaniste,"Shkolla Fillore ""Nexhmi Mustafa""","Osnovna Škola ""Nexhmi Mustafa""",,
53,19,Prishtinë/Priština,1960e,Prugoc/Prugoce,"Shkolla Fillore ""Nexhmi Mustafa""","Osnovna Škola ""Nexhmi Mustafa""",,
54,19,Prishtinë/Priština,1961e,Kllokoq/Kloko,"Shkolla Fillore ""Liria""","Osnovna Škola ""Liria""",,
55,19,Prishtinë/Priština,1962e,Busi/Businje,"Shkolla Fillore ""Isa Boletini""","Osnovna Škola ""Isa Boletini""",,
56,19,Prishtinë/Priština,1963e,Mareci (Bullaj)/Marevce (Bullovi Mahala),"Shkolla Fillore ""Iliria""","Osnovna Škola ""Iliria""",,
1,20,Prizren/Prizren,2001a,Shaban Polluzha /Šaban Poluža - Prizren,"Shkolla e Mesme ""Remzi Ademaj""","Srednja Škola ""Remzi Ademaj""",,
2,20,Prizren/Prizren,2002a,Dushanovë (Arbana)/Dušanovo - Prizren,"Shkolla Fillore ""Ibrahim Fehmiu""","Osnovna Škola ""Ibrahim Fehmiu""",,
3,20,Prizren/Prizren,2003a,28 November/Ortakol - Prizren,"Shkolla Fillore ""Abdyl Frashëri""","Osnovna Škola ""Abdyl Frashëri""",,
4,20,Prizren/Prizren,2004a,7 September - Prizren,"Shkolla Fillore ""Motrat Qiriazi""","Osnovna Škola ""Motrat Qiriazi""",,
5,20,Prizren/Prizren,2005a,24 May - Prizren,"Shkolla e Mesme ""Gjon Buzuku""","Srednja Škola ""Gjon Buzuku""",,
6,20,Prizren/Prizren,2005x,24 May - Prizren,"Shkolla Fillore ""Mustafa Bakiu""","Osnovna Škola ""Mustafa Bakiu""",,
7,20,Prizren/Prizren,2006a,Tusus - Prizren,"Shkolla ""Fadil Hisari""","Škola ""Fadil Hisari""",,
8,20,Prizren/Prizren,2006x,Tusus - Prizren,"Universiteti i Prizrenit ""Ukshin Hoti""","Universitet Prizren ""Ukshin Hoti""",,
9,20,Prizren/Prizren,2007a,11 March - Prizren,"Shkolla Fillore ""Lek Dukagjini""","Osnovna Škola ""Lek Dukagjini""",,
10,20,Prizren/Prizren,2008a,2 July - Prizren,"Shkolla e Mesme ""Luciano Matroni""","Srednja Škola ""Luciano Matroni""",,
11,20,Prizren/Prizren,2009a,Lakuriq/Mati Logoreci - Prizren,"Shkolla Fillore ""Mati Logoreci""","Osnovna Škola ""Mati Logoreci""",,
12,20,Prizren/Prizren,2010a,Pouskë/Pousko,"Shkolla Fillore ""Sharr""","Osnovna Škola ""Sharr""",,
13,20,Prizren/Prizren,2011a,Mushnikovë/Mušnikovo,"Shkolla Fillore ""Mushnikova""","Osnovna Škola ""Mushnikova""",,
14,20,Prizren/Prizren,2012a,Serbicë e Ultë/Donje Srbica,"Shkolla Fillore ""Zenel Hajdini""","Osnovna skola ""Zenel Hajdini""",,
15,20,Prizren/Prizren,2013a,Lubizhdë/Ljubižda,"Shkolla Fillore ""Ekrem Rexha""","Osnovna Škola ""Ekrem Rexha""",,
16,20,Prizren/Prizren,2014a,Lutogllavë/Ljutoglav,"Shkolla Fillore ""Besim Ndreca""","Osnovna Škola ""Besim Ndreca""",,
17,20,Prizren/Prizren,2015a,Gjonaj/Djonaj,"Shkolla Fillore ""Zenun Çoçaj""","Osnovna Škola ""Zenun Çoçaj""",,
18,20,Prizren/Prizren,2016a,Lubiqevë/Ljubičevo,"Shkolla Fillore ""Mic Sokoli""","Osnovna Škola ""Mic Sokoli""",,
19,20,Prizren/Prizren,2017a,Gorozhup/Gorožup,"Shkolla ""Vëllezërit Frashëri""","Škola ""Vëllezërit Frashëri""",,
20,20,Prizren/Prizren,2018a,Romajë/Romaja,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
21,20,Prizren/Prizren,2019a,Zojiz/Zojič,"Shkolla Fillore ""Sinan Thaçi""","Osnovna Škola ""Sinan Thaçi""",,
22,20,Prizren/Prizren,2020a,Piranë/Pirane,"Shkolla Fillore ""Zenel Hajdini""","Osnovna Škola ""Zenel Hajdini""",,
23,20,Prizren/Prizren,2021a,Landovicë/Landovica,"Shkolla Fillore ""Ardhmëria""","Osnovna Škola ""Ardhmëria""",,
24,20,Prizren/Prizren,2022a,Dobrushtë/Dobruste,"Shkolla Fillore ""Heronjtë e Lumes""","Osnovna skola""Heronjtë e Lumes""",,
25,20,Prizren/Prizren,2023a,Korishë/Koriša,"Shkolla Fillore ""Sezai Surroi""","Osnovna Škola ""Sezai Surroi""",,
26,20,Prizren/Prizren,2024a,Zym/Zjum,"Shkolla Fillore ""Shtjefën Gjeçov""","Osnovna Škola ""Shtjefën Gjeçov""",,
27,20,Prizren/Prizren,2025a,Velezhë/Veleža,"Shkolla Fillore ""Zef Lush Marku""","Osnovna Škola ""Zef Lush Marku""",,
28,20,Prizren/Prizren,2026a,Hoçë e Qytetit/Zagradska Hoča,"Shkolla Fillore ""Nazim Buduri""","Osnovna Škola ""Nazim Buduri""",,
29,20,Prizren/Prizren,2027a,Randobravë/Randobrava,"Shkolla Fillore ""Idriz Seferi""","Osnovna Škola ""Idriz Seferi""",,
30,20,Prizren/Prizren,2028a,Drajçiq/Drajčići,"Shkolla Fillore ""Drajčići""","Osnovna Škola ""Drajčići""",,
31,20,Prizren/Prizren,2029a,Nashec/Našec,"Shkolla Fillore ""Luigj Gurakuqi""","Osnovna Škola ""Luigj Gurakuqi""",,
32,20,Prizren/Prizren,2030a,Lubizhdë e Hasit/Ljubižda Has,"Shkolla Fillore ""Pjetër Budi""","Osnovna Škola ""Pjetër Budi""",,
33,20,Prizren/Prizren,2031a,Gornosellë/Gornjaselo,"Shkolla Fillore ""Mushnikova""","Osnovna skola""Mushnilova""",,
34,20,Prizren/Prizren,2032a,Vllashnjë/Vlašnja,"Shkolla Fillore ""Naim Frashëri""","Osnovna Škola ""Naim Frashëri""",,
35,20,Prizren/Prizren,2033a,Zhur/Zur,"Shkolla Fillore ""Dëshmorët e Zhurit""","Osnovna Škola ""Dëshmorët e Zhurit""",,
36,20,Prizren/Prizren,2034a,Reçan/Rečane,"Shkolla Fillore ""Meto Bajraktari""","Osnovna Škola ""Meto Bajraktari""",,
37,20,Prizren/Prizren,2035a,Lubinje e Epërme/Gornje Ljubinje,"Shkolla Fillore ""Izvor""","Osnovna Škola ""Izvor""",,
38,20,Prizren/Prizren,2036a,Lubinje e Poshtme/Donje Ljubinje,"Shkolla Fillore ""25 Maj""","Osnovna Škola ""25 Maj""",,
39,20,Prizren/Prizren,2037a,Manastiricë/Manastirica,"Shkolla Fillore ""Svjetlost""","Osnovna Škola ""Svjetlost""",,
40,20,Prizren/Prizren,2038a,Skorobishtë/Skorobište,"Shkolla Fillore ""Nefit Jusufi""","Osnovna Škola ""Nefit Jusufi""",,
41,20,Prizren/Prizren,2039a,Hatmaxhë/Atmada,"Shkolla Fillore ""Luigj Gurakuqi""","Osnovna skola""Luigj Gurakuqi""",,
42,20,Prizren/Prizren,2040a,Gërnçar/Grnčare,"Shkolla Fillore ""Ekrem Rexha""","Osnovna Škola ""Ekrem Rexha""",,
43,20,Prizren/Prizren,2041a,Billushë/Biluša - Prizren,"Shkolla Fillore ""Dëshmorët e Vërrinit""","Osnovna Škola ""Dëshmorët e Vërrinit""",,
44,20,Prizren/Prizren,2042a,24 May - Prizren,"Shkolla e Mesme ""11 Marsi""","Srednja Škola ""11 Marsi""",,
45,20,Prizren/Prizren,2043a,Kabash Has/Kabas Has,"Shkolla Fillore ""Hysni Temaj""","Osnovna skola ""Hysni Temaj""",,
46,20,Prizren/Prizren,2044a,Lokvicë/Lokvica,"Shkolla Fillore ""Meto Bajraktari""","Osnovna skola"" Meto Bajraktari""",,
47,20,Prizren/Prizren,2045a,Vermicë/Verbnica,"Shkolla Fillore ""Heronjtë e Lumes""","Osnovna skola""Heronjtë e Lumes""",,
48,20,Prizren/Prizren,2048a,Petrovë/Petrovo Selo,"Shkolla Fillore ""Lekë Dukagjini""","Osnovna skola ""Lekë Dukagjini""",,
49,20,Prizren/Prizren,2049a,Krajk/Krajk,"Shkolla Fillore ""Mithat Frashëri""","Osnovna Škola ""Mithat Frashëri""",,
50,20,Prizren/Prizren,2050a,Kushnin/Kušnin,"Shkolla Fillore ""Hysni Temaj""","Osnovna Škola ""Hysni Temaj""",,
51,20,Prizren/Prizren,2051a,Novosellë/Novo Selo,"Shkolla Fillore ""Ekrem Rexha""","Osnovna Škola ""Ekrem Rexha""",,
52,20,Prizren/Prizren,2054a,Shkozë/Shkoza,"Shkolla Fillore ""Heronjte e Lumës""","Osnovna Škola ""Heronjte e Lumës""",,
53,20,Prizren/Prizren,2055a,Prizren/Prizren-Jeta e Re,"Shkolla Fillore "" Haziz Tola""","Osnovna Škola "" Haziz Tola""",,
54,20,Prizren/Prizren,2056a,Krushë e Vogël/Mala Krusha,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
55,20,Prizren/Prizren,2057a,Planeja/Planeja,"Shkolla Fillore "" Vëllezerit Frasheri""","Osnovna Škola "" Vëllezerit Frasheri""",,
56,20,Prizren/Prizren,2058a,Mazreku/Mazrek,"Shkolla Fillore ""Pjeter Mazreku""","Osnovna Škola ""Pjeter Mazreku""",,
57,20,Prizren/Prizren,2059a,Poslishta/Posliste,"Shkolla Fillore ""Hasim Maliqaj""","Osnovna Škola ""Hasim Maliqaj""",,
58,20,Prizren/Prizren,2060a,Struzha/Struzje,"Shkolla Fillore Anif Muji""","Osnovna Škola Anif Muji""",,
59,20,Prizren/Prizren,2061a,Prizren/Prizren-Dardania,"Shkolla Fillore ""Nazim Kokollari""","Osnovna Škola ""Nazim Kokollari""",,
60,20,Prizren/Prizren,2062a,Prizren/Prizren-Bajram Curri,"Shkolla Fillore ""Fatmir Berisha""","Osnovna Škola ""Fatmir Berisha""",,
61,20,Prizren/Prizren,2063a,Srecke/Sredska,Shtëpia e Gjuetarëve,Lovaćka Kuća,,
62,20,Prizren/Prizren,2064a,Novak/Novake,Shkolla Fillore-Novak,Osnovna Škola-Novak,,
63,20,Prizren/Prizren,2065a,Medvec/Medvece,"Shkolla Fillore ""Brigada 125""","Osnovna Škola ""Brigada 125""",,
64,20,Prizren/Prizren,2066a,Jabllanice/Jablanica,"Shkolla Fillore ""Sharr""","Osnovna Škola ""Sharr""",,
65,20,Prizren/Prizren,2067a,Nebregoshte/Nepergoshti,"Shkolla Fillore ""Svjetlost""","Osnovna Škola ""Svjetlost""",,
66,20,Prizren/Prizren,2068a,Pllanjan/Planjane,"Shkolla Fillore ""Pllanjane""","Osnovna Škola ""Pllanjane""",,
67,20,Prizren/Prizren,2069a,Dedaj/Dedaj,"Shkolla Fillore ""Dedaj""","Osnovna Škola ""Dedaj""",,
1,21,Skenderaj/Srbica,2101b,Skenderaj/Srbica,"Shkolla e Mesme Teknike ""Anton Çetta""","Tehnićka Srednja Škola ""Anton Çetta""",,
2,21,Skenderaj/Srbica,2101x,Skenderaj/Srbica,"Gjinazi ""Hamez Jashari""","Gimnazija ""Hamez Jashari""",,
3,21,Skenderaj/Srbica,2102b,Çubrel/Čubrelj,"Shkolla ""Vëllezërit Frashëri""","Škola ""Vëllezërit Frashëri""",,
