Nr/ Br,Kodi i Komunes Opstinski Kod,Komuna/Opstina,Qendra e Votimit 2014 Biracki Centar 2014,Qyteti/Vendi Grad/Mesto,Lokacioni detal,Detaljna Lokacija,,
4,4,Gjilan/Gnjilane,0402x,Gjilan/Gnjilane,"Shkolla ""Musa Zajmi""","Škola ""Musa Zajmi""",,
5,4,Gjilan/Gnjilane,0403d,Gjilan/Gnjilane,"Gjimnazi i Vjeter ""Zenel Hajdini""","Stara Gimnazija ""Zenel Hajdini""",,
6,4,Gjilan/Gnjilane,0403x,Gjilan/Gnjilane,"Shkolla Teknike ""Mehmet Isai""","Technical Škola ""Mehmet Isai""",,
7,4,Gjilan/Gnjilane,0404d,Bresalc/Bresalce,"Shkolla Fillore ""Ibrahim Oruqi""","Osnovna Škola ""Ibrahim Oruqi""",,
8,4,Gjilan/Gnjilane,0405d,Kishnapole/Kishnapole,"Shkolla Fillore ""Afërdita""","Osnovna Škola ""Afërdita""",,
9,4,Gjilan/Gnjilane,0406d,Dobërçan/Dobrčane,"Shkolla Fillore ""Nazim Hikmet""","Osnovna Škola ""Nazim Hikmet""",,
10,4,Gjilan/Gnjilane,0407d,Malishevë/Mališevo,"Shkolla Fillore ""Avdullah Tahiri""","Osnovna Škola ""Avdullah Tahiri""",,
11,4,Gjilan/Gnjilane,0408d,Pograxhë/Podgrađe,"Shkolla Fillore ""Liria""","Osnovna Škola ""Liria""",,
12,4,Gjilan/Gnjilane,0409d,Zhegër/Žegra,"Shkolla Fillore ""Agim Ramadani""","Osnovna Škola ""Agim Ramadani""",,
13,4,Gjilan/Gnjilane,0410d,Cernicë/Cernica,"Shkolla Fillore ""Ramiz Cernica""","Osnovna Škola ""Ramiz Cernica""",,
14,4,Gjilan/Gnjilane,0412d,Gjilan/Gnjilane,"Annex i Kishes ""Vuk Karadžić""","Annex Crkve ""Vuk Karadžić""",,
15,4,Gjilan/Gnjilane,0415d,Shilovë/Šilovo,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
16,4,Gjilan/Gnjilane,0420d,Ponesh/Poneš,"Shkolla Fillore ""Sveti Sava""","Osnovna Škola ""Sveti Sava""",,
17,4,Gjilan/Gnjilane,0422d,Cernicë/Cernica,"Shkolla Fillore ""Branko Radičević""","Osnovna Škola ""Branko Radičević""",,
18,4,Gjilan/Gnjilane,0423d,Përlepnicë/Prilepnica,"Shkolla Fillore ""Skenderbeu""","Osnovna Škola ""Skenderbeu""",,
19,4,Gjilan/Gnjilane,0428d,Kmetofc/Kmetovce,"Shkolla Fillore ""Vuk Karadžić""","Osnovna Škola ""Vuk Karadžić""",,
20,4,Gjilan/Gnjilane,0429d,Velekincë/Velekince,"Shkolla Fillore ""Mulla Idriz Gjilani""","Osnovna Škola ""Mulla Idriz Gjilani""",,
21,4,Gjilan/Gnjilane,0430d,Livoç i Poshtëm/Donji Livoč,"Shkolla Fillore ""Dëshmorët e Kombit""","Osnovna Škola ""Dëshmorët e Kombit""",,
22,4,Gjilan/Gnjilane,0434d,Livoç i Epërm/Gornji Livoč,Shtëpi Private,Privatna Kuća,,
23,4,Gjilan/Gnjilane,0437d,Llashtice/Vlastica,"Shkolla Fillore""Esat Berisha""","Osnovna Škola""Esat Berisha""",,
24,4,Gjilan/Gnjilane,0438d,Shurdhan/Surlani,"Shkolla Fillore ""Bajram Curri""","Osnovna Škola ""Bajram Curri""",,
25,4,Gjilan/Gnjilane,0439d,Livoq i Eperm/Gornji Livoc,"Shkolla Fillore ""Vatra e Diturise""","Osnovna Škola ""Vatra e Diturise""",,
26,4,Gjilan/Gnjilane,0440d,Lladove/Lladovo,"Shkolla Fillore ""Agim Ramadani""","Osnovna Škola ""Agim Ramadani""",,
27,4,Gjilan/Gnjilane,0441d,Uglari/Ugljare,"Shkolla Fillore"" Vehbi Ibrahimi""","Osnovna Škola"" Vehbi Ibrahimi""",,
28,4,Gjilan/Gnjilane,0442d,Verbice e Zhegofcit/Zegovacka Vrbica,"Shkolla Fillore ""Fetah Qerimi","Osnovna Škola ""Fetah Qerimi",,
29,4,Gjilan/Gnjilane,0443d,Gumnishtë/Gumniste,"Shkolla Fillore ""Ramiz Cernica""","Osnovna skola""Ramiz Crnica""",,
30,4,Gjilan/Gnjilane,0444d,Bilincë/Bilinca,"Shkolla Fillore""Liria""","Osnovna skola""Liria""",,
31,4,Gjilan/Gnjilane,0445d,Bukovik/Bukovik,"Shkolla Fillore ""Nazim Hikmet""","Osnovna skola ""Nazmi Hikmet""",,
32,4,Gjilan/Gnjilane,0446d,Llovce/Lovce,"Shkolla Fillore ""Liria""","Osnovna skola""Liria""",,
33,4,Gjilan/Gnjilane,0447d,Kravaricë/Kravarica,"Shkolla Fillore ""Ramiz Cernica""","Osnovna skola""Ramiz Crnica""",,
1,5,Dragash/Dragaš,0501a,Dragash/Dragaš,"Shkolla Mesme ""Ruzhdi Berisha""","Srednja Škola ""Ruzhdi Berisha""",,
2,5,Dragash/Dragaš,0501x,Dragash/Dragaš,"Shkolla Fillore ""Fetah Sylejmani""","Osnovna Škola ""Fetah Sylejmani""",,
3,5,Dragash/Dragaš,0502a,Brodi/Brod,"Shkolla Fillore ""Zenuni""","Osnovna Škola ""Zenuni""",,
4,5,Dragash/Dragaš,0503a,Restelicë/Restelica,"Shkolla Fillore ""Restelica""","Osnovna Škola ""Restelica""",,
5,5,Dragash/Dragaš,0504a,Glloboçicë/Globočica,"Shkolla Fillore ""Svetlost""","Osnovna Škola ""Svetlost""",,
6,5,Dragash/Dragaš,0505a,Rapçë e Poshtme/Donja Rapča,"Shkolla Fillore ""9 Maj""","Osnovna Škola ""9 Maj""",,
7,5,Dragash/Dragaš,0506a,Brezne/Brezna,"Shkolla Fillore ""Shaban Shabani""","Osnovna Škola ""Shaban Shabani""",,
8,5,Dragash/Dragaš,0507a,Bresanë/Brodosavce,"Shkolla Fillore ""28 Nëntori""","Osnovna Škola ""28 Nëntori""",,
9,5,Dragash/Dragaš,0508a,Blaq/Bljać,"Shkolla Fillore ""Ilmi Bahtijari""","Osnovna Škola ""Ilmi Bahtijari""",,
10,5,Dragash/Dragaš,0509a,Kosavë/Kosavce,"Shkolla e Re ""Ulina""","Nova Škola ""Ulina""",,
11,5,Dragash/Dragaš,0510a,Kuk/Kukovce,"Shkolla Fillore ""Samidin Emini""","Osnovna Škola ""Samidin Emini""",,
12,5,Dragash/Dragaš,0511a,Bellobrad/Belobrad,"Shkolla Fillore ""Sezai Surroi""","Osnovna Škola ""Sezai Surroi""",,
13,5,Dragash/Dragaš,0512a,Zgatar/Zgatare,"Shkolla Fillore ""Ilmi Bahtijari""","Osnovna Škola ""Ilmi Bahtijari""",,
14,5,Dragash/Dragaš,0513a,Shajne/Sajnovce,"Shkolla Fillore ""Fetah Sylejmani""","Osnovna skola ""Fetah Sylejmani""",,
15,5,Dragash/Dragaš,0514a,Mlikë/Mlike,"Shkolla Fillore ""Vranishta""","Osnovna skola""Vranishta""",,
16,5,Dragash/Dragaš,0515a,Zym/Zjum,"Shkolla Fillore ""Sezai Surroi""","Osnovna skola""Sezair Suroi""",,
17,5,Dragash/Dragaš,0516a,Radeshë/Radeša,"Shkolla Fillore ""Fetah Sylejmani""","Osnovna Škola ""Fetah Sylejmani""",,
18,5,Dragash/Dragaš,0517a,Leshtan/Leštane,"Shkolla Fillore ""Fetah Sylejmani""","Osnovna Škola ""Fetah Sylejmani""",,
19,5,Dragash/Dragaš,0518a,Pllavë/Plava,"Shkolla Fillore ""Shaban Shabani""","Osnovna Škola ""Shaban Shabani""",,
20,5,Dragash/Dragaš,0519a,Xërxe/Zrza,"Shkolla Fillore ""Fetah Sylejmani""","Osnovna Škola ""Fetah Sylejmani""",,
21,5,Dragash/Dragaš,0520a,Krushe/Kruševo,"Shkolla Fillore ""Svetlost""","Osnovna Škola ""Svetlost""",,
22,5,Dragash/Dragaš,0521a,Vranishtë/Vranište,"Shkolla Fillore ""25 Maj""","Osnovna Škola ""25 Maj""",,
23,5,Dragash/Dragaš,0522a,Buçe/Buče,"Shkolla Fillore "" Shaban Shabani""","Osnovna Škola "" Shaban Shabani""",,
24,5,Dragash/Dragaš,0523a,Zaplluxhe/Zapluzje,"Shkolla Fillore ""Ilmi Bahtijari""","Osnovna Škola ""Ilmi Bahtijari""",,
25,5,Dragash/Dragaš,0524a,Brruti/Brut,"Shkolla Fillore ""Sezair Surrroi""""","Osnovna Škola ""Sezair Surrroi""""",,
26,5,Dragash/Dragaš,0525a,Kerstec/Veliki Krstac,"Shkolla Fillore ""9 Maji""","Osnovna Škola ""9 Maji""",,
27,5,Dragash/Dragaš,0526a,Rrenci/Rence,"Shkolla Fillore ""Fetah Sylejmani""","Osnovna Škola ""Fetah Sylejmani""",,
28,5,Dragash/Dragaš,0527a,Zlipotoku/Zli Potok,"Shkolla Fillore ""Svetlost""","Osnovna Škola ""Svetlost""",,
29,5,Dragash/Dragaš,0528a,Pllajniku/Plajnik,"Shkolla Fillore ""Samidin Emini""","Osnovna Škola ""Samidin Emini""",,
30,5,Dragash/Dragaš,0529a,Oruqusha/Orcuse,"Shkolla Fillore ""25 Maj""","Osnovna Škola ""25 Maj""",,
31,5,Dragash/Dragaš,0530a,Dikanca/Dikance,"Shkolla Fillore ""Zenuni""","Osnovna Škola ""Zenuni""",,
1,6,Istog/Istok,0601c,Istog/Istok,"Shkolla Fillore ""Bajram Curri""","Osnavna Skola "" Bajram Curri""",,
2,6,Istog/Istok,0602c,Banjë e Pejës/Pećka Banja,"Shkolla Fillore ""Trepça""","Osnovna Škola ""Trepça""",,
3,6,Istog/Istok,0603c,Dobrushë/Dobruša,"Shkolla Fillore ""Fan S. Noli""","Osnovna Škola ""Fan S. Noli""",,
4,6,Istog/Istok,0604c,Gjurakovc/Đurakovac,"Shkolla Fillore ""Martin Camaj""","Osnovna Škola ""Martin Camaj""",,
5,6,Istog/Istok,0605c,Zallq/Žač,"Shkolla ""Avni Rustemi""","Škola ""Avni Rustemi""",,
